media	url	client	reposts	comments	gender	follower	friend	statues	age	verified	desc	type	species
0	0	1	125	25	1	3204	1736	9184	110	1	1	220	yes
1	0	1	541	171	0	509840	234	13610	384	1	1	-1	yes
0	0	1	16	87	1	1654540	1926	12350	136	1	1	0	yes
1	0	1	466	150	1	1012015	1273	116665	250	1	1	-1	yes
1	0	1	10	2	1	2736	301	3508	139	1	1	-1	yes
1	0	1	19	5	1	7520	1027	177	16	1	1	-1	yes
0	0	1	29	13	0	37476	1867	10551	665	1	1	0	yes
0	0	1	302	93	1	43912	1778	5406	655	1	1	0	yes
0	0	1	37	11	1	32725	2460	4227	522	1	1	0	yes
1	0	2	371	87	1	166631	1943	6061	607	1	1	-1	yes
1	0	2	64	21	1	108554	545	14186	574	1	1	0	yes
0	0	1	11	7	1	26804	851	8157	1026	1	1	0	yes
1	1	1	23	5	1	3423	421	1667	330	1	1	2	yes
1	0	1	23	8	1	112497	1216	9983	1083	1	1	0	yes
1	0	1	31	9	1	11286	553	5271	243	1	1	-1	yes
1	1	1	11	0	1	1455	409	2668	727	1	1	2	yes
0	1	2	10	10	1	109	98	365	627	1	1	-1	yes
1	1	1	692	138	1	282010	1648	9916	684	1	1	2	yes
0	1	1	61	27	1	53284	1352	28578	1009	1	1	0	yes
0	1	2	67	9	1	24776	1570	15741	1020	1	1	0	yes
1	0	2	236	7	1	110536	248	1788	779	1	1	-1	yes
1	1	2	11	3	1	1164	1980	17125	927	1	1	-1	yes
0	1	1	14	3	1	35160	1992	45792	1076	1	1	-1	yes
1	1	2	16	7	1	34964	1409	7627	1159	1	1	0	yes
1	1	1	25	8	1	7162	1169	2655	1226	1	1	-1	yes
0	1	2	19	10	1	100605	486	16880	1641	1	1	0	yes
0	1	2	28	4	1	6696	98	1981	1637	1	1	-1	yes
0	1	2	34	9	1	82320	3000	10369	1590	1	0	0	yes
1	0	1	12	5	1	6496	1986	1854	1080	1	0	-1	yes
1	0	2	645	132	1	350712	2434	23445	272	1	1	-1	yes
0	0	2	110	17	1	169922	345	17750	1468	1	1	0	yes
1	0	2	11	3	1	51423	1009	2519	108	1	1	0	yes
0	0	1	24	5	0	298	91	908	944	1	1	-1	yes
0	1	2	220	12	1	29587	98	1854	859	1	1	0	yes
1	1	2	290	82	1	87951	1334	14388	1354	1	1	0	yes
0	1	2	10	10	1	21475	320	20004	451	1	1	5	yes
0	1	2	11	0	1	4121	1029	1706	572	1	1	5	yes
1	0	2	93	80	1	933268	909	21747	1376	1	1	3	yes
1	1	1	410	485	1	5343573	1023	65051	970	1	1	3	yes
0	1	1	1172	565	1	4169374	2006	52368	1196	1	1	3	yes
1	1	1	1193	917	1	12904679	529	55355	1438	1	1	3	yes
1	1	2	19	17	0	2254414	612	57216	1380	1	1	3	yes
0	1	1	1087	1073	1	6855560	318	41375	1433	1	1	3	yes
1	1	1	111	66	1	26208	555	11848	846	1	1	3	yes
0	1	1	85	103	1	3426922	419	22246	165	1	1	3	yes
1	1	1	281	154	1	4518420	938	60424	1408	1	1	3	yes
1	1	2	17	8	0	268114	1045	18824	1298	1	1	3	yes
1	1	1	76	70	1	1055002	899	26135	1167	1	1	3	yes
1	1	1	292	70	0	4824	265	7960	787	1	1	3	yes
1	1	1	20	6	1	37951	1621	17961	1378	1	1	3	yes
1	1	2	82	47	0	420070	2000	21597	1359	1	1	3	yes
1	1	1	145	77	1	2205843	1109	38840	1322	1	1	3	yes
1	0	2	114	98	1	1808198	206	106643	899	1	1	3	yes
1	1	1	192	169	1	2775313	1035	53434	1252	1	1	3	yes
1	1	2	165	146	0	2254418	612	57216	1378	1	1	3	yes
1	0	1	58	53	1	283776	426	60193	888	1	1	5	yes
1	1	1	14	11	1	169944	395	26054	1434	1	1	3	yes
1	0	2	39	19	1	384770	279	7945	765	1	1	5	yes
0	1	1	222	97	1	18297	1692	10455	624	1	1	0	yes
1	1	2	368	329	1	4267984	698	42849	1261	1	1	3	yes
1	1	1	55	47	0	103609	1833	13491	907	1	1	3	yes
1	1	1	169	166	1	12252546	1884	77656	1413	1	1	3	yes
1	0	1	14	14	0	57553	816	14227	1323	1	1	3	yes
1	1	1	18	8	1	324745	265	29878	820	1	1	3	yes
1	0	1	14	6	1	4349	2930	10993	949	1	0	220	yes
1	1	1	50	56	1	296276	2658	42141	1439	1	1	0	yes
1	1	1	120	129	0	414681	287	32358	1275	1	1	3	yes
1	0	1	47	57	1	2653306	1720	25917	1439	1	1	3	yes
1	0	2	15	6	1	39181	837	16514	1202	1	1	5	yes
